Type,Death Benefit,Age,Premium,Loading,Profit,Expenses,Year,Intervention,Mortality,Reduction
T20,50000,26,194.5075452,0.4,139.5121513,2,2024,TRUE,3,1
T20,50000,35,204.3990655,0.4,649.2301375,2,2024,TRUE,3,1
T20,50000,45,242.5271982,0.4,783.5202073,2,2024,TRUE,3,1
T20,50000,55,341.9677508,0.4,1127.590828,2,2024,TRUE,3,1
T20,100000,26,339.957385,0.4,1125.632613,2,2024,TRUE,3,1
T20,100000,35,366.4526003,0.4,1218.53462,2,2024,TRUE,3,1
T20,100000,45,436.4857087,0.4,1483.858271,2,2024,TRUE,3,1
T20,100000,55,635.0551766,0.4,2172.768358,2,2024,TRUE,3,1
T20,250000,26,776.24347,0.4,2688.721895,2,2024,TRUE,3,1
T20,250000,35,842.4227806,0.4,2921.123353,2,2024,TRUE,3,1
T20,250000,45,1018.36124,0.4,3584.872463,2,2024,TRUE,3,1
T20,250000,55,1514.317454,0.4,5308.300948,2,2024,TRUE,3,1
T20,500000,26,1503.386945,0.4,5293.870698,2,2024,TRUE,3,1
T20,500000,35,1635.706415,0.4,5758.771242,2,2024,TRUE,3,1
T20,500000,45,1988.153793,0.4,7086.562783,2,2024,TRUE,3,1
T20,500000,55,2979.754582,0.4,10534.1886,2,2024,TRUE,3,1
T20,1000000,26,2957.673895,0.4,10504.1683,2,2024,TRUE,3,1
T20,1000000,35,3222.273682,0.4,11434.06702,2,2024,TRUE,3,1
T20,1000000,45,3927.738898,0.4,14089.94342,2,2024,TRUE,3,1
T20,1000000,55,5910.62884,0.4,20985.9639,2,2024,TRUE,3,1
T20,2000000,26,5866.247795,0.4,20924.76352,2,2024,TRUE,3,1
T20,2000000,35,6395.408218,0.4,22784.65857,2,2024,TRUE,3,1
T20,2000000,45,7806.909108,0.4,28096.7047,2,2024,TRUE,3,1
T20,2000000,55,11772.37735,0.4,41889.5145,2,2024,TRUE,3,1
SPWL,50000,26,1597.895045,0.4,553.03,2,2024,TRUE,3,1
SPWL,50000,35,1767.898514,0.4,620.17,2,2024,TRUE,3,1
SPWL,50000,45,2221.325243,0.4,798.36,2,2024,TRUE,3,1
SPWL,50000,55,3295.690393,0.4,1217.10,2,2024,TRUE,3,1
SPWL,100000,26,2791.548989,0.4,1033.90,2,2024,TRUE,3,1
SPWL,100000,35,3132.213548,0.4,1168.43,2,2024,TRUE,3,1
SPWL,100000,45,4040.838462,0.4,1525.51,2,2024,TRUE,3,1
SPWL,100000,55,6193.806115,0.4,2364.64,2,2024,TRUE,3,1
SPWL,250000,26,6372.51082,0.4,2476.50,2,2024,TRUE,3,1
SPWL,250000,35,7225.158651,0.4,2813.22,2,2024,TRUE,3,1
SPWL,250000,45,9499.37812,0.4,3706.96,2,2024,TRUE,3,1
SPWL,250000,55,14888.15328,0.4,5807.28,2,2024,TRUE,3,1
SPWL,500000,26,12340.78054,0.4,4880.83,2,2024,TRUE,3,1
SPWL,500000,35,14046.73382,0.4,5554.54,2,2024,TRUE,3,1
SPWL,500000,45,18596.94422,0.4,7342.71,2,2024,TRUE,3,1
SPWL,500000,55,29378.7319,0.4,11545.02,2,2024,TRUE,3,1
SPWL,1000000,26,24277.31998,0.4,9689.49,2,2024,TRUE,3,1
SPWL,1000000,35,27689.88417,0.4,11037.18,2,2024,TRUE,3,1
SPWL,1000000,45,36792.07641,0.4,14614.22,2,2024,TRUE,3,1
SPWL,1000000,55,58359.88913,0.4,23020.48,2,2024,TRUE,3,1
SPWL,2000000,26,48150.39885,0.4,19306.83,2,2024,TRUE,3,1
SPWL,2000000,35,54976.18485,0.4,22002.45,2,2024,TRUE,3,1
SPWL,2000000,45,73182.34079,0.4,29157.22,2,2024,TRUE,3,1
SPWL,2000000,55,116322.2036,0.4,45971.41,2,2024,TRUE,3,1
