Type,Death Benefit,Age,Premium,Loading,Profit,Expenses,Year,Intervention,Mortality
T20,50000,26,198.4546094,0.4,164.8187413,2,2014,FALSE,3
T20,50000,35,204.3332288,0.4,701.8504624,2,2014,FALSE,3
T20,50000,45,243.8975756,0.4,833.5070866,2,2014,FALSE,3
T20,50000,55,346.8361567,0.4,1169.524209,2,2014,FALSE,3
T20,100000,26,348.0251072,0.4,1156.154756,2,2014,FALSE,3
T20,100000,35,377.2639419,0.4,1251.152221,2,2014,FALSE,3
T20,100000,45,440.5428133,0.4,1505.531804,2,2014,FALSE,3
T20,100000,55,646.1118881,0.4,2178.675667,2,2014,FALSE,3
T20,250000,26,796.8933934,0.4,2647.315001,2,2014,FALSE,3
T20,250000,35,869.9295651,0.4,2885.020768,2,2014,FALSE,3
T20,250000,45,1030.478526,0.4,3521.605954,2,2014,FALSE,3
T20,250000,55,1543.939082,0.4,5206.130041,2,2014,FALSE,3
T20,500000,26,1545.007204,0.4,5132.582075,2,2014,FALSE,3
T20,500000,35,1691.038937,0.4,5608.135014,2,2014,FALSE,3
T20,500000,45,2013.704715,0.4,6881.729539,2,2014,FALSE,3
T20,500000,55,3040.31774,0.4,10251.88733,2,2014,FALSE,3
T20,1000000,26,3041.234825,0.4,10103.11622,2,2014,FALSE,3
T20,1000000,35,3333.257681,0.4,11054.3635,2,2014,FALSE,3
T20,1000000,45,3980.157092,0.4,13601.97671,2,2014,FALSE,3
T20,1000000,55,6033.075054,0.4,20343.40191,2,2014,FALSE,3
T20,2000000,26,6033.690066,0.4,20044.18452,2,2014,FALSE,3
T20,2000000,35,6617.695169,0.4,21946.82049,2,2014,FALSE,3
T20,2000000,45,7913.061846,0.4,27042.47105,2,2014,FALSE,3
T20,2000000,55,12018.58968,0.4,40526.43107,2,2014,FALSE,3
SPWL,50000,26,2000.978798,0.4,720.35,2,2014,FALSE,3
SPWL,50000,35,2254.753969,0.4,811.71,2,2014,FALSE,3
SPWL,50000,45,2920.978946,0.4,1051.55,2,2014,FALSE,3
SPWL,50000,55,4476.379542,0.4,1611.50,2,2014,FALSE,3
SPWL,100000,26,3538.298723,0.4,1273.79,2,2014,FALSE,3
SPWL,100000,35,4046.859431,0.4,1456.87,2,2014,FALSE,3
SPWL,100000,45,5382.016755,0.4,1937.53,2,2014,FALSE,3
SPWL,100000,55,8499.270485,0.4,3059.74,2,2014,FALSE,3
SPWL,250000,26,8150.258499,0.4,2934.09,2,2014,FALSE,3
SPWL,250000,35,9423.175817,0.4,3392.34,2,2014,FALSE,3
SPWL,250000,45,12765.13018,0.4,4595.45,2,2014,FALSE,3
SPWL,250000,55,20567.94331,0.4,7404.46,2,2014,FALSE,3
SPWL,500000,26,15836.85813,0.4,5701.27,2,2014,FALSE,3
SPWL,500000,35,18383.70313,0.4,6618.13,2,2014,FALSE,3
SPWL,500000,45,25070.31923,0.4,9025.31,2,2014,FALSE,3
SPWL,500000,55,40682.39802,0.4,14645.66,2,2014,FALSE,3
SPWL,1000000,26,31210.05738,0.4,11235.62,2,2014,FALSE,3
SPWL,1000000,35,36304.75775,0.4,13069.71,2,2014,FALSE,3
SPWL,1000000,45,49680.69733,0.4,17885.05,2,2014,FALSE,3
SPWL,1000000,55,80911.30745,0.4,29128.07,2,2014,FALSE,3
SPWL,2000000,26,61956.45588,0.4,22304.32,2,2014,FALSE,3
SPWL,2000000,35,72146.86698,0.4,25972.87,2,2014,FALSE,3
SPWL,2000000,45,98901.45352,0.4,35604.52,2,2014,FALSE,3
SPWL,2000000,55,161369.1263,0.4,58092.89,2,2014,FALSE,3
