Type,Death Benefit,Age,Premium,Loading,Profit,Expenses,Year,Intervention,Mortality
T20,50000,26,247.2341924,0.4,205.3307229,3,2014,FALSE,3
T20,50000,35,251.469883,0.4,863.7569852,3,2014,FALSE,3
T20,50000,45,291.1499134,0.4,994.9894563,3,2014,FALSE,3
T20,50000,55,394.3965819,0.4,1329.89696,3,2014,FALSE,3
T20,100000,26,396.8046902,0.4,1318.202682,3,2014,FALSE,3
T20,100000,35,426.084135,0.4,1413.058744,3,2014,FALSE,3
T20,100000,45,487.7951511,0.4,1667.014173,3,2014,FALSE,3
T20,100000,55,693.6723133,0.4,2339.048418,3,2014,FALSE,3
T20,250000,26,845.6729764,0.4,2809.362927,3,2014,FALSE,3
T20,250000,35,918.7497582,0.4,3046.927291,3,2014,FALSE,3
T20,250000,45,1077.730864,0.4,3683.088324,3,2014,FALSE,3
T20,250000,55,1591.499508,0.4,5366.502792,3,2014,FALSE,3
T20,500000,26,1593.786787,0.4,5294.630002,3,2014,FALSE,3
T20,500000,35,1739.85913,0.4,5770.041536,3,2014,FALSE,3
T20,500000,45,2060.957053,0.4,7043.211908,3,2014,FALSE,3
T20,500000,55,3087.878165,0.4,10412.26008,3,2014,FALSE,3
T20,1000000,26,3090.014408,0.4,10265.16415,3,2014,FALSE,3
T20,1000000,35,3382.077874,0.4,11216.27003,3,2014,FALSE,3
T20,1000000,45,4027.40943,0.4,13763.45908,3,2014,FALSE,3
T20,1000000,55,6080.635479,0.4,20503.77466,3,2014,FALSE,3
T20,2000000,26,6082.469649,0.4,20206.23245,3,2014,FALSE,3
T20,2000000,35,6666.515362,0.4,22108.72701,3,2014,FALSE,3
T20,2000000,45,7960.314184,0.4,27203.95342,3,2014,FALSE,3
T20,2000000,55,12066.15011,0.4,40686.80382,3,2014,FALSE,3
SPWL,50000,26,2464.63767,0.4,887.27,3,2014,FALSE,3
SPWL,50000,35,2717.402477,0.4,978.26,3,2014,FALSE,3
SPWL,50000,45,3380.920082,0.4,1217.13,3,2014,FALSE,3
SPWL,50000,55,4929.868143,0.4,1774.75,3,2014,FALSE,3
SPWL,100000,26,4001.957596,0.4,1440.70,3,2014,FALSE,3
SPWL,100000,35,4509.507939,0.4,1623.42,3,2014,FALSE,3
SPWL,100000,45,5841.957891,0.4,2103.10,3,2014,FALSE,3
SPWL,100000,55,8952.759085,0.4,3222.99,3,2014,FALSE,3
SPWL,250000,26,8613.917371,0.4,3101.01,3,2014,FALSE,3
SPWL,250000,35,9885.824325,0.4,3558.90,3,2014,FALSE,3
SPWL,250000,45,13225.07132,0.4,4761.03,3,2014,FALSE,3
SPWL,250000,55,21021.43191,0.4,7567.72,3,2014,FALSE,3
SPWL,500000,26,16300.517,0.4,5868.19,3,2014,FALSE,3
SPWL,500000,35,18846.35163,0.4,6784.69,3,2014,FALSE,3
SPWL,500000,45,25530.26037,0.4,9190.89,3,2014,FALSE,3
SPWL,500000,55,41135.88662,0.4,14808.92,3,2014,FALSE,3
SPWL,1000000,26,31673.71625,0.4,11402.54,3,2014,FALSE,3
SPWL,1000000,35,36767.40625,0.4,13236.27,3,2014,FALSE,3
SPWL,1000000,45,50140.63846,0.4,18050.63,3,2014,FALSE,3
SPWL,1000000,55,81364.79605,0.4,29291.33,3,2014,FALSE,3
SPWL,2000000,26,62420.11476,0.4,22471.24,3,2014,FALSE,3
SPWL,2000000,35,72609.51549,0.4,26139.43,3,2014,FALSE,3
SPWL,2000000,45,99361.39465,0.4,35770.10,3,2014,FALSE,3
SPWL,2000000,55,161822.6149,0.4,58256.14,3,2014,FALSE,3
