Type,Death Benefit,Age,Premium,Loading,Profit,Expenses,Year,Intervention,Mortality
T20,50000,26,177.0691835,0.4,150.5797386,1,2004,FALSE,3
T20,50000,35,182.0704355,0.4,647.1423904,1,2004,FALSE,3
T20,50000,45,223.3873183,0.4,789.7548086,1,2004,FALSE,3
T20,50000,55,330.4841867,0.4,1152.013337,1,2004,FALSE,3
T20,100000,26,329.6014859,0.4,1121.173196,1,2004,FALSE,3
T20,100000,35,361.2382102,0.4,1226.599618,1,2004,FALSE,3
T20,100000,45,423.4381643,0.4,1497.006764,1,2004,FALSE,3
T20,100000,55,637.4759371,0.4,2222.135918,1,2004,FALSE,3
T20,250000,26,787.4844827,0.4,2678.709083,1,2004,FALSE,3
T20,250000,35,866.5457607,0.4,2942.392774,1,2004,FALSE,3
T20,250000,45,1023.590702,0.4,3618.76263,1,2004,FALSE,3
T20,250000,55,1558.451188,0.4,5432.50366,1,2004,FALSE,3
T20,500000,26,1550.622811,0.4,5274.602227,1,2004,FALSE,3
T20,500000,35,1708.725012,0.4,5802.048033,1,2004,FALSE,3
T20,500000,45,2023.844933,0.4,7155.022406,1,2004,FALSE,3
T20,500000,55,3093.40994,0.4,10783.11656,1,2004,FALSE,3
T20,1000000,26,3076.899466,0.4,10466.38852,1,2004,FALSE,3
T20,1000000,35,3393.083513,0.4,11521.35855,1,2004,FALSE,3
T20,1000000,45,4024.353393,0.4,14227.54196,1,2004,FALSE,3
T20,1000000,55,6163.327444,0.4,21484.34237,1,2004,FALSE,3
T20,2000000,26,6129.452778,0.4,20849.9611,1,2004,FALSE,3
T20,2000000,35,6761.800516,0.4,22959.97959,1,2004,FALSE,3
T20,2000000,45,8025.370314,0.4,28372.58106,1,2004,FALSE,3
T20,2000000,55,12303.16245,0.4,42886.79399,1,2004,FALSE,3
SPWL,50000,26,2063.079135,0.4,742.71,1,2004,FALSE,3
SPWL,50000,35,2431.96119,0.4,875.51,1,2004,FALSE,3
SPWL,50000,45,3379.875099,0.4,1216.76,1,2004,FALSE,3
SPWL,50000,55,5539.895532,0.4,1994.36,1,2004,FALSE,3
SPWL,100000,26,3876.502356,0.4,1395.54,1,2004,FALSE,3
SPWL,100000,35,4615.023742,0.4,1661.41,1,2004,FALSE,3
SPWL,100000,45,6512.855322,0.4,2344.63,1,2004,FALSE,3
SPWL,100000,55,10837.6112,0.4,3901.54,1,2004,FALSE,3
SPWL,250000,26,9316.772022,0.4,3354.04,1,2004,FALSE,3
SPWL,250000,35,11164.2114,0.4,4019.12,1,2004,FALSE,3
SPWL,250000,45,15911.79599,0.4,5728.25,1,2004,FALSE,3
SPWL,250000,55,26730.75819,0.4,9623.07,1,2004,FALSE,3
SPWL,500000,26,18383.88813,0.4,6618.20,1,2004,FALSE,3
SPWL,500000,35,22079.52416,0.4,7948.63,1,2004,FALSE,3
SPWL,500000,45,31576.69711,0.4,11367.61,1,2004,FALSE,3
SPWL,500000,55,53219.33651,0.4,19158.96,1,2004,FALSE,3
SPWL,1000000,26,36518.12035,0.4,13146.52,1,2004,FALSE,3
SPWL,1000000,35,43910.14968,0.4,15807.65,1,2004,FALSE,3
SPWL,1000000,45,62906.49934,0.4,22646.34,1,2004,FALSE,3
SPWL,1000000,55,106196.4932,0.4,38230.74,1,2004,FALSE,3
SPWL,2000000,26,72786.58478,0.4,26203.17,1,2004,FALSE,3
SPWL,2000000,35,87571.40073,0.4,31525.70,1,2004,FALSE,3
SPWL,2000000,45,125566.1038,0.4,45203.80,1,2004,FALSE,3
SPWL,2000000,55,212150.8064,0.4,76374.29,1,2004,FALSE,3
