Type,Death Benefit,Age,Premium,Loading,Profit,Expenses,Year,Intervention,Mortality
T20,50000,26,174.0648179,0.4,144.5627506,1,2014,FALSE,3
T20,50000,35,180.7649017,0.4,620.897201,1,2014,FALSE,3
T20,50000,45,220.2714066,0.4,752.7659018,1,2014,FALSE,3
T20,50000,55,323.0559441,0.4,1089.337834,1,2014,FALSE,3
T20,100000,26,323.6353157,0.4,1075.130793,1,2014,FALSE,3
T20,100000,35,352.8538453,0.4,1170.19896,1,2014,FALSE,3
T20,100000,45,416.9166443,0.4,1424.790619,1,2014,FALSE,3
T20,100000,55,622.3316755,0.4,2098.489291,1,2014,FALSE,3
T20,250000,26,772.5036019,0.4,2566.291038,1,2014,FALSE,3
T20,250000,35,845.5194686,0.4,2804.067507,1,2014,FALSE,3
T20,250000,45,1006.852357,0.4,3440.864769,1,2014,FALSE,3
T20,250000,55,1520.15887,0.4,5125.943665,1,2014,FALSE,3
T20,500000,26,1520.617412,0.4,5051.558112,1,2014,FALSE,3
T20,500000,35,1666.628841,0.4,5527.181752,1,2014,FALSE,3
T20,500000,45,1990.078546,0.4,6800.988354,1,2014,FALSE,3
T20,500000,55,3016.537527,0.4,10171.70095,1,2014,FALSE,3
T20,1000000,26,3016.845033,0.4,10022.09226,1,2014,FALSE,3
T20,1000000,35,3308.847585,0.4,10973.41024,1,2014,FALSE,3
T20,1000000,45,3956.530923,0.4,13521.23552,1,2014,FALSE,3
T20,1000000,55,6009.294842,0.4,20263.21553,1,2014,FALSE,3
T20,2000000,26,6009.300275,0.4,19963.16056,1,2014,FALSE,3
T20,2000000,35,6593.285073,0.4,21865.86722,1,2014,FALSE,3
T20,2000000,45,7889.435677,0.4,26961.72986,1,2014,FALSE,3
T20,2000000,55,11994.80947,0.4,40446.24469,1,2014,FALSE,3
SPWL,50000,26,1769.149362,0.4,636.89,1,2014,FALSE,3
SPWL,50000,35,2023.429716,0.4,728.43,1,2014,FALSE,3
SPWL,50000,45,2691.008378,0.4,968.76,1,2014,FALSE,3
SPWL,50000,55,4249.635242,0.4,1529.87,1,2014,FALSE,3
SPWL,100000,26,3306.469287,0.4,1190.33,1,2014,FALSE,3
SPWL,100000,35,3815.535178,0.4,1373.59,1,2014,FALSE,3
SPWL,100000,45,5152.046187,0.4,1854.74,1,2014,FALSE,3
SPWL,100000,55,8272.526185,0.4,2978.11,1,2014,FALSE,3
SPWL,250000,26,7918.429063,0.4,2850.63,1,2014,FALSE,3
SPWL,250000,35,9191.851563,0.4,3309.07,1,2014,FALSE,3
SPWL,250000,45,12535.15962,0.4,4512.66,1,2014,FALSE,3
SPWL,250000,55,20341.19901,0.4,7322.83,1,2014,FALSE,3
SPWL,500000,26,15605.02869,0.4,5617.81,1,2014,FALSE,3
SPWL,500000,35,18152.37887,0.4,6534.86,1,2014,FALSE,3
SPWL,500000,45,24840.34866,0.4,8942.53,1,2014,FALSE,3
SPWL,500000,55,40455.65372,0.4,14564.04,1,2014,FALSE,3
SPWL,1000000,26,30978.22794,0.4,11152.16,1,2014,FALSE,3
SPWL,1000000,35,36073.43349,0.4,12986.44,1,2014,FALSE,3
SPWL,1000000,45,49450.72676,0.4,17802.26,1,2014,FALSE,3
SPWL,1000000,55,80684.56314,0.4,29046.44,1,2014,FALSE,3
SPWL,2000000,26,61724.62645,0.4,22220.87,1,2014,FALSE,3
SPWL,2000000,35,71915.54273,0.4,25889.60,1,2014,FALSE,3
SPWL,2000000,45,98671.48295,0.4,35521.73,1,2014,FALSE,3
SPWL,2000000,55,161142.382,0.4,58011.26,1,2014,FALSE,3
