Type,Death Benefit,Age,Premium,Loading,Profit,Expenses,Year,Intervention,Mortality,Reduction
T20,50000,26,178.1319801,0.3,-1944.328704,3,2024,TRUE,2,1
T20,50000,35,281.677094,0.3,-1362.884321,3,2024,TRUE,2,1
T20,50000,45,917.9802455,0.3,243.596763,3,2024,TRUE,2,1
T20,50000,55,2936.709858,0.3,3835.695809,3,2024,TRUE,2,1
T20,100000,26,258.72384,0.3,-1430.972648,3,2024,TRUE,2,1
T20,100000,35,484.4377511,0.3,-809.9751982,3,2024,TRUE,2,1
T20,100000,45,1735.57361,0.3,2377.975243,3,2024,TRUE,2,1
T20,100000,55,5758.077313,0.3,9580.571162,3,2024,TRUE,2,1
T20,250000,26,500.2672068,0.3,-751.7109552,3,2024,TRUE,2,1
T20,250000,35,1063.890528,0.3,801.9766376,3,2024,TRUE,2,1
T20,250000,45,4188.353702,0.3,8781.110681,3,2024,TRUE,2,1
T20,250000,55,14222.17968,0.3,26815.19722,3,2024,TRUE,2,1
T20,500000,26,902.8394848,0.3,380.3918666,3,2024,TRUE,2,1
T20,500000,35,2029.645155,0.3,3488.563031,3,2024,TRUE,2,1
T20,500000,45,8276.320522,0.3,19453.00308,3,2024,TRUE,2,1
T20,500000,55,28329.01696,0.3,55539.57399,3,2024,TRUE,2,1
T20,1000000,26,1707.984041,0.3,2644.59751,3,2024,TRUE,2,1
T20,1000000,35,3961.15441,0.3,8861.735817,3,2024,TRUE,2,1
T20,1000000,45,16452.25416,0.3,40796.78787,3,2024,TRUE,2,1
T20,1000000,55,56542.69151,0.3,112988.3275,3,2024,TRUE,2,1
T20,2000000,26,3318.273153,0.3,7173.008797,3,2024,TRUE,2,1
T20,2000000,35,7824.17292,0.3,19608.08139,3,2024,TRUE,2,1
T20,2000000,45,32804.12144,0.3,83484.35747,3,2024,TRUE,2,1
T20,2000000,55,112970.0406,0.3,227885.8346,3,2024,TRUE,2,1
SPWL,50000,26,2014.950113,0.3,-1533.79,3,2024,TRUE,2,1
SPWL,50000,35,3310.596335,0.3,-1147.63,3,2024,TRUE,2,1
SPWL,50000,45,7317.494566,0.3,39.72,3,2024,TRUE,2,1
SPWL,50000,55,15657.57235,0.3,2463.57,3,2024,TRUE,2,1
SPWL,100000,26,3220.885095,0.3,-1165.76,3,2024,TRUE,2,1
SPWL,100000,35,5822.061041,0.3,-390.49,3,2024,TRUE,2,1
SPWL,100000,45,13868.05743,0.3,1993.78,3,2024,TRUE,2,1
SPWL,100000,55,30621.09349,0.3,6862.83,3,2024,TRUE,2,1
SPWL,250000,26,6838.690041,0.3,-61.69,3,2024,TRUE,2,1
SPWL,250000,35,13356.45516,0.3,1880.92,3,2024,TRUE,2,1
SPWL,250000,45,33519.74601,0.3,7855.97,3,2024,TRUE,2,1
SPWL,250000,55,75511.65693,0.3,20060.59,3,2024,TRUE,2,1
SPWL,500000,26,12868.36495,0.3,1778.44,3,2024,TRUE,2,1
SPWL,500000,35,25913.77869,0.3,5666.61,3,2024,TRUE,2,1
SPWL,500000,45,66272.56032,0.3,17626.28,3,2024,TRUE,2,1
SPWL,500000,55,150329.2627,0.3,42056.86,3,2024,TRUE,2,1
SPWL,1000000,26,24927.71477,0.3,5458.68,3,2024,TRUE,2,1
SPWL,1000000,35,51028.42574,0.3,13237.98,3,2024,TRUE,2,1
SPWL,1000000,45,131778.1889,0.3,37166.89,3,2024,TRUE,2,1
SPWL,1000000,55,299964.4741,0.3,86049.40,3,2024,TRUE,2,1
SPWL,2000000,26,49046.41441,0.3,12819.18,3,2024,TRUE,2,1
SPWL,2000000,35,101257.7199,0.3,28380.73,3,2024,TRUE,2,1
SPWL,2000000,45,262789.4462,0.3,76248.13,3,2024,TRUE,2,1
SPWL,2000000,55,599234.897,0.3,174034.49,3,2024,TRUE,2,1
