Type,Death Benefit,Age,Premium,Loading,Profit,Expenses,Year,Intervention,Mortality,Reduction
T20,50000,26,174.7512772,0.4,-1918.079004,3,2024,TRUE,1,2
T20,50000,35,254.8068162,0.4,-1167.823873,3,2024,TRUE,1,2
T20,50000,45,829.6955835,0.4,935.9466979,3,2024,TRUE,1,2
T20,50000,55,2840.494711,0.4,6224.380218,3,2024,TRUE,1,2
T20,100000,26,251.9872279,0.4,-1186.111383,3,2024,TRUE,1,2
T20,100000,35,427.3302225,0.4,-496.5029128,3,2024,TRUE,1,2
T20,100000,45,1559.675226,0.4,3682.820133,3,2024,TRUE,1,2
T20,100000,55,5566.492433,0.4,14279.12047,3,2024,TRUE,1,2
T20,250000,26,483.4615343,0.4,-258.1400786,3,2024,TRUE,1,2
T20,250000,35,921.2948298,0.4,1466.852655,3,2024,TRUE,1,2
T20,250000,45,3749.614155,0.4,11923.44044,3,2024,TRUE,1,2
T20,250000,55,13744.4856,0.4,38443.34121,3,2024,TRUE,1,2
T20,500000,26,869.2520449,0.4,1288.478762,3,2024,TRUE,1,2
T20,500000,35,1744.569175,0.4,4739.111936,3,2024,TRUE,1,2
T20,500000,45,7399.51237,0.4,25657.80761,3,2024,TRUE,1,2
T20,500000,55,27374.4742,0.4,78717.04246,3,2024,TRUE,1,2
T20,1000000,26,1640.833066,0.4,4381.716445,3,2024,TRUE,1,2
T20,1000000,35,3391.117866,0.4,11283.6305,3,2024,TRUE,1,2
T20,1000000,45,14699.3088,0.4,53126.54196,3,2024,TRUE,1,2
T20,1000000,55,54634.45141,0.4,159264.4449,3,2024,TRUE,1,2
T20,2000000,26,3183.995109,0.4,10568.19181,3,2024,TRUE,1,2
T20,2000000,35,6684.215248,0.4,24372.66762,3,2024,TRUE,1,2
T20,2000000,45,29298.90166,0.4,108064.0107,3,2024,TRUE,1,2
T20,2000000,55,109154.4058,0.4,320359.2499,3,2024,TRUE,1,2
SPWL,50000,26,1940.395202,0.4,-1343.07,3,2024,TRUE,1,2
SPWL,50000,35,3139.684563,0.4,-844.97,3,2024,TRUE,1,2
SPWL,50000,45,6841.211478,0.4,678.75,3,2024,TRUE,1,2
SPWL,50000,55,15327.35261,0.4,4095.56,3,2024,TRUE,1,2
SPWL,100000,26,3071.195952,0.4,-857.07,3,2024,TRUE,1,2
SPWL,100000,35,5478.90664,0.4,142.94,3,2024,TRUE,1,2
SPWL,100000,45,12911.35341,0.4,3202.55,3,2024,TRUE,1,2
SPWL,100000,55,29957.53564,0.4,10066.23,3,2024,TRUE,1,2
SPWL,250000,26,6463.5982,0.4,600.96,3,2024,TRUE,1,2
SPWL,250000,35,12496.57287,0.4,3106.68,3,2024,TRUE,1,2
SPWL,250000,45,31121.7792,0.4,10773.94,3,2024,TRUE,1,2
SPWL,250000,55,73848.08475,0.4,27978.23,3,2024,TRUE,1,2
SPWL,500000,26,12117.60195,0.4,3030.99,3,2024,TRUE,1,2
SPWL,500000,35,24192.68326,0.4,8046.24,3,2024,TRUE,1,2
SPWL,500000,45,61472.48886,0.4,23392.92,3,2024,TRUE,1,2
SPWL,500000,55,146998.9999,0.4,57831.58,3,2024,TRUE,1,2
SPWL,1000000,26,23425.60944,0.4,7891.07,3,2024,TRUE,1,2
SPWL,1000000,35,47584.90404,0.4,17925.36,3,2024,TRUE,1,2
SPWL,1000000,45,122173.9082,0.4,48630.88,3,2024,TRUE,1,2
SPWL,1000000,55,293300.8302,0.4,117538.26,3,2024,TRUE,1,2
SPWL,2000000,26,46041.62443,0.4,17611.21,3,2024,TRUE,1,2
SPWL,2000000,35,94369.34559,0.4,37683.60,3,2024,TRUE,1,2
SPWL,2000000,45,243576.7468,0.4,99106.80,3,2024,TRUE,1,2
SPWL,2000000,55,585904.4909,0.4,236951.63,3,2024,TRUE,1,2
